OTU	day	treatment	mean	adj.mean	variance	std	Kingdom	Phylum	Class	Order	Family	Genus
Otu034	33	A	0.000153	1.53E-04	0	0.000127	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Pseudomonadales(100)	Moraxellaceae(100)	Moraxella
Otu034	33	GLN	3.40E-05	3.40E-05	0	2.50E-05	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Pseudomonadales(100)	Moraxellaceae(100)	Moraxella
Otu062	33	GLN	0.000182	1.82E-04	1.00E-06	0.000182	Bacteria(100)	Proteobacteria(100)	Betaproteobacteria(100)	Neisseriales(100)	Neisseriaceae(100)	Neisseria
Otu062	33	NAS	1.20E-05	1.20E-05	0	1.20E-05	Bacteria(100)	Proteobacteria(100)	Betaproteobacteria(100)	Neisseriales(100)	Neisseriaceae(100)	Neisseria
Otu062	33	A	2.60E-05	2.60E-05	0	2.60E-05	Bacteria(100)	Proteobacteria(100)	Betaproteobacteria(100)	Neisseriales(100)	Neisseriaceae(100)	Neisseria
Otu125	33	GLN	0	1.20E-07	0	0	Bacteria(100)	Planctomycetes(100)	Planctomycetia(100)	Planctomycetales(100)	Planctomycetaceae(100)	Planctomycetaceae unclass
Otu125	33	A	0.000128	1.28E-04	0	0.000128	Bacteria(100)	Planctomycetes(100)	Planctomycetia(100)	Planctomycetales(100)	Planctomycetaceae(100)	Planctomycetaceae unclass
Otu125	33	NAS	0	1.20E-07	0	0	Bacteria(100)	Planctomycetes(100)	Planctomycetia(100)	Planctomycetales(100)	Planctomycetaceae(100)	Planctomycetaceae unclass
Otu134	33	A	0	1.20E-07	0	0	Bacteria(100)	Elusimicrobia(100)	Elusimicrobia(100)	Elusimicrobiales(100)	Elusimicrobiaceae(100)	Elusimicrobium
Otu134	33	NAS	0	1.20E-07	0	0	Bacteria(100)	Elusimicrobia(100)	Elusimicrobia(100)	Elusimicrobiales(100)	Elusimicrobiaceae(100)	Elusimicrobium
Otu134	33	GLN	0.000193	1.93E-04	1.00E-06	0.000181	Bacteria(100)	Elusimicrobia(100)	Elusimicrobia(100)	Elusimicrobiales(100)	Elusimicrobiaceae(100)	Elusimicrobium
